alpha,mse_manual,mse_random,mse_true,mse_ganite_α5,mse_ganite_α6,mse_ganite_α7,mse_ganite_α8,mse_cate
0.0,151.8593758082508,462.1403116022922,43.845196729463275,448.16263089008686,296.54664699778874,335.3946241197734,573.0886151168311,185.51037997695116
0.1,132.5449553700309,387.0166800406478,43.74809062649099,372.10581400850515,250.51532297484374,280.94977653627836,472.6124191704898,159.85950691103406
0.2,113.73627844723332,301.1217069668684,43.94398546322631,308.08570319265476,206.90964517261355,231.57173554109326,384.7720801616168,136.44686657470118
0.30000000000000004,96.66420974283038,246.79021257691065,43.890369615539406,246.98684575704726,169.11588430435114,187.80993735156545,306.1365981055396,115.04071593957109
0.4,82.26496246090366,190.6556380292452,43.95728591435913,193.78964853181745,136.90094350458645,150.30294011366937,237.92820318574226,96.19223778092869
0.5,69.90641387466862,149.44097185794254,43.824114504408655,147.1779656585543,107.47565251764067,117.05520692229562,179.54968890959648,79.3810932743111
0.6000000000000001,61.25966618583823,117.11938878511491,43.83479546164638,110.41636517753793,85.44972988031414,90.82004990445864,127.933374566213,65.98570427983371
0.7000000000000001,53.4832673822792,84.62308105923245,43.91656343157721,81.68739356015959,66.69846625696906,69.56623606434194,92.8904934114402,56.13395523142618
0.8,48.93553903459119,61.09774836472536,43.9191318950128,60.81770302074026,53.49571146365762,54.726468958849715,66.16648963484339,49.58809084421838
0.9,44.684087318380264,46.612891910430264,43.951474381069346,48.12274865457273,46.18279138788684,46.4699417027336,49.98216189309735,45.33183333476072
1.0,44.03949607280813,44.03949607280813,44.03949607280813,44.03949607280813,44.03949607280813,44.03949607280813,44.03949607280813,44.03949607280813
