actual_outcome,actual_treatment,propensity_score,mu0_control,mu1_treated,cate_doubly_robust,cate_regression,counterfactual_outcome,treatment_benefit
0.59,0,0.03,0.5680000000000008,0.7809999999999998,0.1903195876288658,0.21299999999999897,0.7809999999999998,0.19099999999999984
0.02,1,0.92,0.08489999999999996,0.04090000000000002,-0.06671739130434778,-0.04399999999999994,0.08489999999999996,-0.06489999999999996
1.0,0,0.1,0.9051999999999998,0.6794999999999999,-0.3310333333333334,-0.2256999999999999,0.6794999999999999,-0.3205000000000001
0.24,0,0.01,0.22129999999999975,0.17329999999999995,-0.06688888888888894,-0.04799999999999979,0.17329999999999995,-0.06670000000000004
0.19,0,0.01,0.15529999999999988,0.19099999999999998,0.0006494949494949276,0.03570000000000009,0.19099999999999998,0.0009999999999999731
0.45,0,0.05,0.42840000000000017,0.48779999999999973,0.036663157894736564,0.059399999999999564,0.48779999999999973,0.03779999999999972
0.06,1,0.99,0.07649999999999996,0.05579999999999993,-0.016457575757575713,-0.020700000000000024,0.07649999999999996,-0.01649999999999996
0.46,0,0.04,0.4776000000000004,0.6531999999999999,0.19393333333333324,0.17559999999999948,0.6531999999999999,0.19319999999999987
0.09,0,0.01,0.0842999999999999,0.0791,-0.01095757575757575,-0.005199999999999899,0.0791,-0.010899999999999993
0.2,0,0.03,0.2306999999999998,0.18150000000000002,-0.017550515463917532,-0.04919999999999977,0.18150000000000002,-0.01849999999999999
0.36,1,0.85,0.4273,0.46979999999999966,-0.08667647058823524,0.04249999999999965,0.4273,-0.06730000000000003
0.37,0,0.01,0.3930999999999999,0.46350000000000013,0.09373333333333345,0.07040000000000024,0.46350000000000013,0.09350000000000014
0.21,1,0.99,0.16849999999999998,0.19310000000000027,0.04167070707070708,0.02460000000000029,0.16849999999999998,0.04150000000000001
0.51,1,0.96,0.4727,0.47499999999999987,0.03875833333333334,0.0022999999999998577,0.4727,0.0373
0.1,0,0.01,0.1494999999999998,0.40290000000000004,0.3034,0.25340000000000024,0.40290000000000004,0.30290000000000006
0.68,1,0.99,0.30389999999999995,0.5826999999999998,0.37708282828282835,0.2787999999999998,0.30389999999999995,0.3761000000000001
0.26,1,0.98,0.31879999999999986,0.2541000000000003,-0.058679591836734546,-0.06469999999999954,0.31879999999999986,-0.05879999999999985
0.28,0,0.01,0.28630000000000033,0.4197000000000002,0.13976363636363653,0.13339999999999985,0.4197000000000002,0.13970000000000016
0.02,1,0.99,0.09329999999999995,0.042299999999999977,-0.07352525252525248,-0.050999999999999976,0.09329999999999995,-0.07329999999999995
0.04,1,0.99,0.03869999999999998,0.036600000000000014,0.0013343434343434588,-0.002099999999999963,0.03869999999999998,0.0013000000000000234
0.15,0,0.02,0.1941999999999999,0.23160000000000003,0.08250204081632656,0.03740000000000013,0.23160000000000003,0.08160000000000003
