case_name,alpha_value,ate,cate_treated,cate_control,cate_mean,cate_difference,dataset_type,ganite_model_type
ganite_α8_average_alpha_0.0,0.0,-15.220816709159363,4877.596184617658,4877.596184617658,4877.596184617658,0.0,ganite_α8,ganite
ganite_α8_average_alpha_0.1,0.1,-13.066677970614137,4009.721739384344,4009.721739384344,4009.721739384344,0.0,ganite_α8,ganite
ganite_α8_average_alpha_0.2,0.2,-11.24847727885498,3542.2541618919636,3542.2541618919636,3542.2541618919636,0.0,ganite_α8,ganite
ganite_α8_average_alpha_0.3,0.3,-9.224884981697928,3789.688582410575,3789.688582410575,3789.688582410575,0.0,ganite_α8,ganite
ganite_α8_average_alpha_0.4,0.4,-7.024182776581723,4133.067103881622,4133.067103881622,4133.067103881622,0.0,ganite_α8,ganite
ganite_α8_average_alpha_0.5,0.5,-4.801453045074867,4707.116130548324,4707.116130548324,4707.116130548324,0.0,ganite_α8,ganite
ganite_α8_average_alpha_0.6,0.6,-2.382506261920998,6635.99943993808,6635.99943993808,6635.99943993808,0.0,ganite_α8,ganite
ganite_α8_average_alpha_0.7,0.7,-0.271940814320736,8210.14513672372,8210.14513672372,8210.14513672372,0.0,ganite_α8,ganite
ganite_α8_average_alpha_0.8,0.8,2.0826043659971383,10924.503888834312,10924.503888834312,10924.503888834312,0.0,ganite_α8,ganite
ganite_α8_average_alpha_0.9,0.9,4.607547805345195,14738.513892749943,14738.513892749943,14738.513892749943,0.0,ganite_α8,ganite
ganite_α8_average_alpha_1.0,1.0,6.628755451804875,16934.03682031537,16934.03682031537,16934.03682031537,0.0,ganite_α8,ganite
