case_name,alpha_value,ate,cate_treated,cate_control,cate_mean,cate_difference,dataset_type,ganite_model_type
ganite_α6_average_alpha_0.0,0.0,-16.324341426105264,3723.2927993678563,3723.2927993678563,3723.2927993678563,0.0,ganite_α6,ganite
ganite_α6_average_alpha_0.1,0.1,-13.958791444439962,2459.1985837240272,2459.1985837240272,2459.1985837240272,0.0,ganite_α6,ganite
ganite_α6_average_alpha_0.2,0.2,-11.538800071541663,1834.7623899237858,1834.7623899237858,1834.7623899237858,0.0,ganite_α6,ganite
ganite_α6_average_alpha_0.3,0.3,-9.35046389427353,1719.681715460465,1719.681715460465,1719.681715460465,0.0,ganite_α6,ganite
ganite_α6_average_alpha_0.4,0.4,-7.381716358045816,2000.6343502710788,2000.6343502710788,2000.6343502710788,0.0,ganite_α6,ganite
ganite_α6_average_alpha_0.5,0.5,-4.90499060282492,3319.2196395648125,3319.2196395648125,3319.2196395648125,0.0,ganite_α6,ganite
ganite_α6_average_alpha_0.6,0.6,-3.023369751674217,4257.952481139111,4257.952481139111,4257.952481139111,0.0,ganite_α6,ganite
ganite_α6_average_alpha_0.7,0.7,-0.8189164018133326,5845.74070670478,5845.74070670478,5845.74070670478,0.0,ganite_α6,ganite
ganite_α6_average_alpha_0.8,0.8,1.799842909109925,9051.853174344084,9051.853174344084,9051.853174344084,0.0,ganite_α6,ganite
ganite_α6_average_alpha_0.9,0.9,4.429297157834867,13596.874263842148,13596.874263842148,13596.874263842148,0.0,ganite_α6,ganite
ganite_α6_average_alpha_1.0,1.0,6.628755451804875,16934.03682031537,16934.03682031537,16934.03682031537,0.0,ganite_α6,ganite
