alpha,mse_baseline,mse_cate,mse_purebaseline
0.0,44.29685702003581,179.51166784734397,44.29685702003581
0.1,44.11724410276956,155.07445736163862,44.11724410276956
0.2,44.30853107646596,132.47269408802148,44.30853107646596
0.30000000000000004,44.23440563227994,111.22775778806809,44.23440563227994
0.4,44.22056904193754,92.80474445858344,44.22056904193754
0.5,44.29685702003581,76.7604690272574,44.29685702003581
0.6000000000000001,44.24495064220765,64.15226173724787,44.24495064220765
0.7000000000000001,44.21416253098231,54.969344548862075,44.21416253098231
0.8,44.239948343274236,49.28125871287269,44.239948343274236
0.9,44.23514608777702,44.940652975709135,44.23514608777702
1.0,44.29685702003581,44.29685702003581,44.29685702003581
